group,sensitivity,specificity,group_type,boot_id
Mexican American,0.3114754098360656,0.9333333333333333,race,1001
Non-Hispanic Asian,0.4375,0.9631578947368421,race,1001
Non-Hispanic Black,0.5353535353535354,0.952755905511811,race,1001
Non-Hispanic White,0.6243654822335025,0.9099099099099099,race,1001
Other Hispanic,0.6744186046511628,0.9052631578947369,race,1001
Other Race - Including Multi-Racial,0.4838709677419355,1,race,1001
Above 4x poverty line,0.41935483870967744,0.9710144927536232,income,1001
Below poverty line,0.6574074074074074,0.9057971014492754,income,1001
Middle (2-4x),0.4968152866242038,0.9427917620137299,income,1001
Near poverty (1-2x),0.5735294117647058,0.9009009009009009,income,1001
Mexican American,0.3442622950819672,0.9333333333333333,race,1002
Non-Hispanic Asian,0.40625,0.9578947368421052,race,1002
Non-Hispanic Black,0.5656565656565656,0.9291338582677166,race,1002
Non-Hispanic White,0.649746192893401,0.8768768768768769,race,1002
Other Hispanic,0.5581395348837209,0.9368421052631579,race,1002
Other Race - Including Multi-Racial,0.3870967741935484,0.9803921568627451,race,1002
Above 4x poverty line,0.41935483870967744,0.9742647058823529,income,1002
Below poverty line,0.6176470588235294,0.8920863309352518,income,1002
Middle (2-4x),0.5123456790123457,0.9185185185185185,income,1002
Near poverty (1-2x),0.5985401459854015,0.8871595330739299,income,1002
Mexican American,0.4426229508196721,0.9333333333333333,race,1003
Non-Hispanic Asian,0.3125,0.9736842105263158,race,1003
Non-Hispanic Black,0.5555555555555556,0.952755905511811,race,1003
Non-Hispanic White,0.6446700507614214,0.9009009009009009,race,1003
Other Hispanic,0.5581395348837209,0.9052631578947369,race,1003
Other Race - Including Multi-Racial,0.41935483870967744,0.9019607843137255,race,1003
Above 4x poverty line,0.4126984126984127,0.9704797047970479,income,1003
Below poverty line,0.6020408163265306,0.912751677852349,income,1003
Middle (2-4x),0.52046783625731,0.9254079254079254,income,1003
Near poverty (1-2x),0.6259541984732825,0.90625,income,1003
Mexican American,0.45901639344262296,0.9266666666666666,race,1004
Non-Hispanic Asian,0.375,0.9473684210526315,race,1004
Non-Hispanic Black,0.5353535353535354,0.937007874015748,race,1004
Non-Hispanic White,0.6040609137055838,0.8858858858858859,race,1004
Other Hispanic,0.4418604651162791,0.9789473684210527,race,1004
Other Race - Including Multi-Racial,0.5161290322580645,0.8823529411764706,race,1004
Above 4x poverty line,0.3835616438356164,0.96875,income,1004
Below poverty line,0.5462962962962963,0.8633093525179856,income,1004
Middle (2-4x),0.5337837837837838,0.9353233830845771,income,1004
Near poverty (1-2x),0.6044776119402985,0.8811475409836066,income,1004
Mexican American,0.4098360655737705,0.9333333333333333,race,1005
Non-Hispanic Asian,0.28125,0.9736842105263158,race,1005
Non-Hispanic Black,NA,0.9291338582677166,race,1005
Non-Hispanic White,0.6040609137055838,0.8948948948948949,race,1005
Other Hispanic,0.5813953488372093,0.9789473684210527,race,1005
Other Race - Including Multi-Racial,0.5161290322580645,0.9019607843137255,race,1005
Above 4x poverty line,0.352112676056338,0.988,income,1005
Below poverty line,NA,0.8609271523178808,income,1005
Middle (2-4x),0.5294117647058824,0.9347826086956522,income,1005
Near poverty (1-2x),0.5952380952380952,0.9069767441860465,income,1005
Mexican American,0.4426229508196721,0.92,race,1006
Non-Hispanic Asian,0.40625,0.9789473684210527,race,1006
Non-Hispanic Black,0.6262626262626263,0.9291338582677166,race,1006
Non-Hispanic White,0.5989847715736041,0.8948948948948949,race,1006
Other Hispanic,0.627906976744186,0.9263157894736842,race,1006
Other Race - Including Multi-Racial,0.5161290322580645,0.8235294117647058,race,1006
Above 4x poverty line,0.3939393939393939,0.9814814814814815,income,1006
Below poverty line,0.6914893617021277,0.8670886075949367,income,1006
Middle (2-4x),0.5595238095238095,0.9187192118226601,income,1006
Near poverty (1-2x),0.5777777777777777,0.891213389121339,income,1006
Mexican American,0.4098360655737705,0.9466666666666667,race,1007
Non-Hispanic Asian,0.40625,0.9894736842105263,race,1007
Non-Hispanic Black,0.6161616161616161,0.9409448818897638,race,1007
Non-Hispanic White,0.6243654822335025,0.8858858858858859,race,1007
Other Hispanic,0.5348837209302325,0.9157894736842105,race,1007
Other Race - Including Multi-Racial,0.6129032258064516,0.9607843137254902,race,1007
Above 4x poverty line,0.4032258064516129,0.9879518072289156,income,1007
Below poverty line,0.6017699115044248,0.8551724137931035,income,1007
Middle (2-4x),0.535031847133758,0.9426605504587156,income,1007
Near poverty (1-2x),0.6641221374045801,0.9012345679012346,income,1007
Mexican American,0.4098360655737705,0.9466666666666667,race,1008
Non-Hispanic Asian,0.3125,0.9736842105263158,race,1008
Non-Hispanic Black,0.5959595959595959,0.9409448818897638,race,1008
Non-Hispanic White,0.5888324873096447,0.9009009009009009,race,1008
Other Hispanic,0.5581395348837209,0.9578947368421052,race,1008
Other Race - Including Multi-Racial,0.4838709677419355,0.9019607843137255,race,1008
Above 4x poverty line,0.375,0.9819494584837545,income,1008
Below poverty line,0.6039603960396039,0.8623188405797102,income,1008
Middle (2-4x),0.5159235668789809,0.9428571428571428,income,1008
Near poverty (1-2x),0.5886524822695035,0.907563025210084,income,1008
Mexican American,0.47540983606557374,0.9266666666666666,race,1009
Non-Hispanic Asian,0.375,0.9315789473684211,race,1009
Non-Hispanic Black,0.5252525252525253,0.9094488188976378,race,1009
Non-Hispanic White,0.649746192893401,0.8888888888888888,race,1009
Other Hispanic,0.6046511627906976,0.9263157894736842,race,1009
Other Race - Including Multi-Racial,0.3548387096774194,0.9019607843137255,race,1009
Above 4x poverty line,0.3389830508474576,0.9742647058823529,income,1009
Below poverty line,0.6236559139784946,0.8170731707317073,income,1009
Middle (2-4x),0.551948051948052,0.9150485436893204,income,1009
Near poverty (1-2x),0.6050955414012739,0.8933333333333333,income,1009
Mexican American,0.4098360655737705,0.92,race,1010
Non-Hispanic Asian,0.34375,0.9631578947368421,race,1010
Non-Hispanic Black,0.5656565656565656,0.9409448818897638,race,1010
Non-Hispanic White,0.6040609137055838,0.9099099099099099,race,1010
Other Hispanic,0.627906976744186,0.9263157894736842,race,1010
Other Race - Including Multi-Racial,0.6451612903225806,0.9607843137254902,race,1010
Above 4x poverty line,0.4393939393939394,0.978021978021978,income,1010
Below poverty line,0.6293103448275862,0.9,income,1010
Middle (2-4x),0.4878048780487805,0.9282178217821783,income,1010
Near poverty (1-2x),0.6495726495726496,0.9070796460176991,income,1010
Mexican American,0.3770491803278688,0.9333333333333333,race,1011
Non-Hispanic Asian,0.40625,0.9736842105263158,race,1011
Non-Hispanic Black,0.6868686868686869,0.9251968503937008,race,1011
Non-Hispanic White,0.6294416243654822,0.8828828828828829,race,1011
Other Hispanic,0.5813953488372093,0.9263157894736842,race,1011
Other Race - Including Multi-Racial,0.5483870967741935,0.9019607843137255,race,1011
Above 4x poverty line,0.4489795918367347,0.9817518248175182,income,1011
Below poverty line,0.6601941747572816,0.874251497005988,income,1011
Middle (2-4x),0.5542168674698795,0.9158415841584159,income,1011
Near poverty (1-2x),0.6068965517241379,0.8903508771929824,income,1011
Mexican American,0.4918032786885246,0.92,race,1012
Non-Hispanic Asian,0.5,0.968421052631579,race,1012
Non-Hispanic Black,NA,0.9251968503937008,race,1012
Non-Hispanic White,0.6243654822335025,0.9009009009009009,race,1012
Other Hispanic,0.5116279069767442,0.9368421052631579,race,1012
Other Race - Including Multi-Racial,0.5806451612903226,0.9607843137254902,race,1012
Above 4x poverty line,0.4626865671641791,0.9851301115241635,income,1012
Below poverty line,NA,0.8707482993197279,income,1012
Middle (2-4x),0.6013071895424836,0.9186602870813397,income,1012
Near poverty (1-2x),0.5611510791366906,0.9121338912133892,income,1012
Mexican American,0.4262295081967213,0.92,race,1013
Non-Hispanic Asian,0.4375,0.968421052631579,race,1013
Non-Hispanic Black,0.5757575757575758,0.9173228346456693,race,1013
Non-Hispanic White,0.6040609137055838,0.8978978978978979,race,1013
Other Hispanic,0.6511627906976745,0.9473684210526315,race,1013
Other Race - Including Multi-Racial,0.3870967741935484,0.9411764705882353,race,1013
Above 4x poverty line,0.4461538461538462,0.98,income,1013
Below poverty line,0.6068376068376068,0.8896551724137931,income,1013
Middle (2-4x),0.5192307692307693,0.9276807980049875,income,1013
Near poverty (1-2x),0.6,0.8678414096916299,income,1013
Mexican American,0.5245901639344263,0.9333333333333333,race,1014
