group_type,group,n_iterations,mean_sensitivity,ci_low_sensitivity,ci_high_sensitivity,mean_fnr,ci_low_fnr,ci_high_fnr
income,Below poverty line,2000,0.5925449549438225,0.5449375431548553,0.6381796690307329,0.40745504505617747,0.36182033096926713,0.4550624568451447
income,Near poverty (1-2x),2000,0.560993374542307,0.5153767123287671,0.6068606445255522,0.439006625457693,0.3931393554744478,0.48462328767123286
income,Middle (2-4x),2000,0.47628805009222996,0.4328309875493001,0.5213113891599226,0.52371194990777,0.4786886108400774,0.5671690124506998
income,Above 4x poverty line,2000,0.33833502331713083,0.27071498212544687,0.40790145005370565,0.6616649766828692,0.5920985499462943,0.7292850178745531
race,Non-Hispanic Black,2000,0.5488662790697675,0.49224806201550386,0.6046511627906976,0.4511337209302325,0.39534883720930236,0.5077519379844961
race,Non-Hispanic White,2000,0.542069573283859,0.5027829313543599,0.5788497217068646,0.45793042671614104,0.42115027829313545,0.4972170686456401
race,Other Race - Including Multi-Racial,2000,0.5369126984126984,0.42857142857142855,0.6507936507936508,0.4630873015873016,0.3492063492063492,0.5714285714285714
race,Other Hispanic,2000,0.5357359154929577,0.4647887323943662,0.6126760563380281,0.46426408450704226,0.38732394366197187,0.5352112676056338
race,Mexican American,2000,0.453295,0.39,0.515,0.546705,0.485,0.61
race,Non-Hispanic Asian,2000,0.33919135802469136,0.24691358024691357,0.43209876543209874,0.6608086419753086,0.5679012345679013,0.7530864197530864
