group,sensitivity,group_type,boot_id
Mexican American,0.445,race,2001
Non-Hispanic Asian,0.30864197530864196,race,2001
Non-Hispanic Black,0.5697674418604651,race,2001
Non-Hispanic White,0.5510204081632653,race,2001
Other Hispanic,0.5985915492957746,race,2001
Other Race - Including Multi-Racial,0.5873015873015873,race,2001
Above 4x poverty line,0.27044025157232704,income,2001
Below poverty line,0.6108108108108108,income,2001
Middle (2-4x),0.5054054054054054,income,2001
Near poverty (1-2x),0.5833333333333334,income,2001
Mexican American,0.455,race,2002
Non-Hispanic Asian,0.38271604938271603,race,2002
Non-Hispanic Black,0.5542635658914729,race,2002
Non-Hispanic White,0.5602968460111317,race,2002
Other Hispanic,0.5352112676056338,race,2002
Other Race - Including Multi-Racial,0.5873015873015873,race,2002
Above 4x poverty line,0.34545454545454546,income,2002
Below poverty line,0.6017699115044248,income,2002
Middle (2-4x),0.49748743718592964,income,2002
Near poverty (1-2x),0.5800524934383202,income,2002
Mexican American,0.53,race,2003
Non-Hispanic Asian,0.24691358024691357,race,2003
Non-Hispanic Black,0.5736434108527132,race,2003
Non-Hispanic White,0.5380333951762524,race,2003
Other Hispanic,0.5070422535211268,race,2003
Other Race - Including Multi-Racial,0.5555555555555556,race,2003
Above 4x poverty line,0.36,income,2003
Below poverty line,0.6177285318559557,income,2003
Middle (2-4x),0.48739495798319327,income,2003
Near poverty (1-2x),0.541025641025641,income,2003
Mexican American,0.435,race,2004
Non-Hispanic Asian,0.38271604938271603,race,2004
Non-Hispanic Black,0.5736434108527132,race,2004
Non-Hispanic White,0.5473098330241187,race,2004
Other Hispanic,0.5985915492957746,race,2004
Other Race - Including Multi-Racial,0.47619047619047616,race,2004
Above 4x poverty line,0.33548387096774196,income,2004
Below poverty line,0.6068376068376068,income,2004
Middle (2-4x),0.47029702970297027,income,2004
Near poverty (1-2x),0.5924932975871313,income,2004
Mexican American,0.445,race,2005
Non-Hispanic Asian,0.35802469135802467,race,2005
Non-Hispanic Black,0.5736434108527132,race,2005
Non-Hispanic White,0.5547309833024119,race,2005
Other Hispanic,0.4647887323943662,race,2005
Other Race - Including Multi-Racial,0.5396825396825397,race,2005
Above 4x poverty line,0.3333333333333333,income,2005
Below poverty line,0.6174698795180723,income,2005
Middle (2-4x),0.49271844660194175,income,2005
Near poverty (1-2x),0.5352480417754569,income,2005
Mexican American,0.4,race,2006
Non-Hispanic Asian,0.2962962962962963,race,2006
Non-Hispanic Black,0.5077519379844961,race,2006
Non-Hispanic White,0.5473098330241187,race,2006
Other Hispanic,0.5633802816901409,race,2006
Other Race - Including Multi-Racial,0.6349206349206349,race,2006
Above 4x poverty line,0.2967032967032967,income,2006
Below poverty line,0.5782122905027933,income,2006
Middle (2-4x),0.46685082872928174,income,2006
Near poverty (1-2x),0.5774278215223098,income,2006
Mexican American,0.46,race,2007
Non-Hispanic Asian,0.3950617283950617,race,2007
Non-Hispanic Black,0.5581395348837209,race,2007
Non-Hispanic White,0.5380333951762524,race,2007
Other Hispanic,0.5140845070422535,race,2007
Other Race - Including Multi-Racial,0.5238095238095238,race,2007
Above 4x poverty line,0.3386243386243386,income,2007
Below poverty line,0.6167146974063401,income,2007
Middle (2-4x),0.4450402144772118,income,2007
Near poverty (1-2x),0.5882352941176471,income,2007
Mexican American,0.465,race,2008
Non-Hispanic Asian,0.30864197530864196,race,2008
Non-Hispanic Black,0.5852713178294574,race,2008
Non-Hispanic White,0.5825602968460112,race,2008
Other Hispanic,0.5915492957746479,race,2008
Other Race - Including Multi-Racial,0.5873015873015873,race,2008
Above 4x poverty line,0.3657142857142857,income,2008
Below poverty line,0.6246498599439776,income,2008
Middle (2-4x),0.5167958656330749,income,2008
Near poverty (1-2x),0.5961538461538461,income,2008
Mexican American,0.45,race,2009
Non-Hispanic Asian,0.32098765432098764,race,2009
Non-Hispanic Black,0.5465116279069767,race,2009
Non-Hispanic White,0.5306122448979592,race,2009
Other Hispanic,0.5563380281690141,race,2009
Other Race - Including Multi-Racial,0.5396825396825397,race,2009
Above 4x poverty line,0.3192771084337349,income,2009
Below poverty line,0.5580736543909348,income,2009
Middle (2-4x),0.47848101265822784,income,2009
Near poverty (1-2x),0.5880758807588076,income,2009
Mexican American,0.43,race,2010
Non-Hispanic Asian,0.4567901234567901,race,2010
Non-Hispanic Black,0.5503875968992248,race,2010
Non-Hispanic White,0.5306122448979592,race,2010
Other Hispanic,0.5140845070422535,race,2010
Other Race - Including Multi-Racial,0.5555555555555556,race,2010
Above 4x poverty line,0.3248407643312102,income,2010
Below poverty line,0.5932203389830508,income,2010
Middle (2-4x),0.4918918918918919,income,2010
Near poverty (1-2x),0.5373134328358209,income,2010
Mexican American,0.48,race,2011
Non-Hispanic Asian,0.345679012345679,race,2011
Non-Hispanic Black,0.5,race,2011
Non-Hispanic White,0.5287569573283859,race,2011
Other Hispanic,0.5211267605633803,race,2011
Other Race - Including Multi-Racial,0.5238095238095238,race,2011
Above 4x poverty line,0.3225806451612903,income,2011
Below poverty line,0.5823863636363636,income,2011
Middle (2-4x),0.4409448818897638,income,2011
Near poverty (1-2x),0.5620253164556962,income,2011
Mexican American,0.455,race,2012
Non-Hispanic Asian,0.4074074074074074,race,2012
Non-Hispanic Black,0.5387596899224806,race,2012
Non-Hispanic White,0.5658627087198516,race,2012
Other Hispanic,0.4647887323943662,race,2012
Other Race - Including Multi-Racial,0.5555555555555556,race,2012
Above 4x poverty line,0.3116883116883117,income,2012
Below poverty line,0.5758513931888545,income,2012
Middle (2-4x),0.524390243902439,income,2012
Near poverty (1-2x),0.5555555555555556,income,2012
Mexican American,0.44,race,2013
Non-Hispanic Asian,0.3333333333333333,race,2013
Non-Hispanic Black,0.5465116279069767,race,2013
Non-Hispanic White,0.536178107606679,race,2013
Other Hispanic,0.5563380281690141,race,2013
Other Race - Including Multi-Racial,0.5079365079365079,race,2013
Above 4x poverty line,0.3790849673202614,income,2013
Below poverty line,0.5789473684210527,income,2013
Middle (2-4x),0.4473007712082262,income,2013
Near poverty (1-2x),0.5657894736842105,income,2013
Mexican American,0.435,race,2014
Non-Hispanic Asian,0.2839506172839506,race,2014
Non-Hispanic Black,0.5542635658914729,race,2014
Non-Hispanic White,0.536178107606679,race,2014
Other Hispanic,0.528169014084507,race,2014
Other Race - Including Multi-Racial,0.5238095238095238,race,2014
Above 4x poverty line,0.2792207792207792,income,2014
Below poverty line,0.5902964959568733,income,2014
Middle (2-4x),0.46153846153846156,income,2014
Near poverty (1-2x),0.5616797900262467,income,2014
Mexican American,0.435,race,2015
Non-Hispanic Asian,0.32098765432098764,race,2015
Non-Hispanic Black,0.5348837209302325,race,2015
Non-Hispanic White,0.5194805194805194,race,2015
Other Hispanic,0.5704225352112676,race,2015
Other Race - Including Multi-Racial,0.7142857142857143,race,2015
Above 4x poverty line,0.3389830508474576,income,2015
Below poverty line,0.5811209439528023,income,2015
Middle (2-4x),0.48293963254593175,income,2015
Near poverty (1-2x),0.5595854922279793,income,2015
Mexican American,0.46,race,2016
Non-Hispanic Asian,0.3333333333333333,race,2016
Non-Hispanic Black,0.5697674418604651,race,2016
Non-Hispanic White,0.5398886827458256,race,2016
Other Hispanic,0.5492957746478874,race,2016
Other Race - Including Multi-Racial,0.5396825396825397,race,2016
Above 4x poverty line,0.3772455089820359,income,2016
Below poverty line,0.5575221238938053,income,2016
Middle (2-4x),0.48346055979643765,income,2016
Near poverty (1-2x),0.5911458333333334,income,2016
Mexican American,0.425,race,2017
Non-Hispanic Asian,0.43209876543209874,race,2017
Non-Hispanic Black,0.5271317829457365,race,2017
Non-Hispanic White,0.5398886827458256,race,2017
Other Hispanic,0.5563380281690141,race,2017
Other Race - Including Multi-Racial,0.5555555555555556,race,2017
Above 4x poverty line,0.32450331125827814,income,2017
Below poverty line,0.6016483516483516,income,2017
Middle (2-4x),0.45663265306122447,income,2017
Near poverty (1-2x),0.5691489361702128,income,2017
Mexican American,0.475,race,2018
Non-Hispanic Asian,0.345679012345679,race,2018
Non-Hispanic Black,0.5697674418604651,race,2018
Non-Hispanic White,0.5510204081632653,race,2018
Other Hispanic,0.49295774647887325,race,2018
Other Race - Including Multi-Racial,0.42857142857142855,race,2018
Above 4x poverty line,0.3765432098765432,income,2018
Below poverty line,0.6035502958579881,income,2018
Middle (2-4x),0.49406175771971494,income,2018
Near poverty (1-2x),0.5276243093922652,income,2018
Mexican American,0.445,race,2019
Non-Hispanic Asian,0.25925925925925924,race,2019
Non-Hispanic Black,0.5465116279069767,race,2019
Non-Hispanic White,0.5454545454545454,race,2019
Other Hispanic,0.45774647887323944,race,2019
Other Race - Including Multi-Racial,0.5714285714285714,race,2019
Above 4x poverty line,0.3128834355828221,income,2019
Below poverty line,0.5777126099706745,income,2019
Middle (2-4x),0.4427083333333333,income,2019
Near poverty (1-2x),0.5772151898734177,income,2019
Mexican American,0.465,race,2020
Non-Hispanic Asian,0.37037037037037035,race,2020
Non-Hispanic Black,0.4806201550387597,race,2020
Non-Hispanic White,0.5306122448979592,race,2020
Other Hispanic,0.5774647887323944,race,2020
Other Race - Including Multi-Racial,0.5555555555555556,race,2020
Above 4x poverty line,0.3741935483870968,income,2020
