income_tier,prob_bin,n,mean_predicted_prob,observed_rate,calibration_gap
Above 4x poverty line,1,204,0.0075784313725490195,0.024509803921568627,0.016931372549019608
Above 4x poverty line,2,204,0.03217647058823529,0.03431372549019608,0.002137254901960789
Above 4x poverty line,3,204,0.07854901960784313,0.10294117647058823,0.024392156862745096
Above 4x poverty line,4,203,0.1653990147783251,0.1330049261083744,-0.03239408866995072
Above 4x poverty line,5,203,0.48192118226600983,0.4630541871921182,-0.018866995073891613
Below poverty line,1,188,0.06369148936170213,0.07446808510638298,0.010776595744680845
Below poverty line,2,188,0.15148936170212765,0.11702127659574468,-0.03446808510638297
Below poverty line,3,188,0.26782978723404255,0.2872340425531915,0.019404255319148966
Below poverty line,4,188,0.47888297872340424,0.4946808510638298,0.015797872340425567
Below poverty line,5,187,0.8209839572192513,0.8823529411764706,0.061368983957219236
Middle (2-4x),1,329,0.022231003039513676,0.057750759878419454,0.03551975683890578
Middle (2-4x),2,329,0.07275379939209727,0.07598784194528875,0.003234042553191485
Middle (2-4x),3,329,0.1433677811550152,0.0911854103343465,-0.05218237082066869
Middle (2-4x),4,329,0.27780547112462006,0.26443768996960487,-0.01336778115501519
Middle (2-4x),5,329,0.6563465045592706,0.6990881458966566,0.042741641337386005
Near poverty (1-2x),1,227,0.04786784140969163,0.0881057268722467,0.04023788546255507
Near poverty (1-2x),2,226,0.12195575221238938,0.11504424778761062,-0.006911504424778767
Near poverty (1-2x),3,226,0.2269646017699115,0.22123893805309736,-0.0057256637168141555
Near poverty (1-2x),4,226,0.42652212389380534,0.4690265486725664,0.04250442477876104
Near poverty (1-2x),5,226,0.8269115044247788,0.831858407079646,0.004946902654867191
