race_eth_label_orig,prob_bin,n,mean_predicted_prob,observed_rate,calibration_gap
Mexican American,1,146,0.042013698630136986,0.0958904109589041,0.05387671232876712
Mexican American,2,146,0.1023972602739726,0.0958904109589041,-0.006506849315068494
Mexican American,3,146,0.18446575342465754,0.11643835616438356,-0.06802739726027399
Mexican American,4,145,0.3116413793103448,0.33793103448275863,0.02628965517241383
Mexican American,5,145,0.698248275862069,0.7310344827586207,0.03278620689655176
Non-Hispanic Asian,1,120,0.00645,0.025,0.01855
Non-Hispanic Asian,2,120,0.026966666666666667,0.058333333333333334,0.03136666666666667
Non-Hispanic Asian,3,120,0.07035,0.08333333333333333,0.012983333333333333
Non-Hispanic Asian,4,120,0.14825,0.09166666666666666,-0.05658333333333333
Non-Hispanic Asian,5,120,0.44001666666666667,0.4166666666666667,-0.023349999999999982
Non-Hispanic Black,1,205,0.022,0.03414634146341464,0.012146341463414638
Non-Hispanic Black,2,205,0.07157073170731708,0.1024390243902439,0.030868292682926818
Non-Hispanic Black,3,204,0.15098039215686274,0.10784313725490197,-0.04313725490196077
Non-Hispanic Black,4,204,0.3051862745098039,0.2549019607843137,-0.05028431372549019
Non-Hispanic Black,5,204,0.7086372549019608,0.7647058823529411,0.05606862745098029
Non-Hispanic White,1,340,0.03013529411764706,0.04411764705882353,0.013982352941176474
Non-Hispanic White,2,340,0.09918823529411765,0.11470588235294117,0.015517647058823525
Non-Hispanic White,3,340,0.2001235294117647,0.17941176470588235,-0.020711764705882346
Non-Hispanic White,4,340,0.3875235294117647,0.4294117647058823,0.041888235294117615
Non-Hispanic White,5,339,0.7927492625368732,0.8200589970501475,0.027309734513274342
Other Hispanic,1,99,0.03498989898989899,0.04040404040404041,0.00541414141414142
Other Hispanic,2,98,0.10222448979591836,0.10204081632653061,-1.836734693877462e-4
Other Hispanic,3,98,0.1836734693877551,0.1836734693877551,0
Other Hispanic,4,98,0.3563877551020408,0.37755102040816324,0.021163265306122447
Other Hispanic,5,98,0.7405102040816327,0.7448979591836735,0.004387755102040813
Other Race - Including Multi-Racial,1,39,0.056666666666666664,0.02564102564102564,-0.031025641025641024
Other Race - Including Multi-Racial,2,39,0.13143589743589743,0.02564102564102564,-0.10579487179487179
Other Race - Including Multi-Racial,3,39,0.22553846153846155,0.2564102564102564,0.03087179487179484
Other Race - Including Multi-Racial,4,38,0.43278947368421056,0.5263157894736842,0.09352631578947362
Other Race - Including Multi-Racial,5,38,0.7970526315789473,0.8157894736842105,0.018736842105263163
