prob_bin,n,mean_predicted_prob,observed_rate,calibration_gap
1,474,0.011059071729957806,0.04852320675105485,0.03746413502109704
2,474,0.03630801687763713,0.046413502109704644,0.010105485232067515
3,474,0.06587341772151899,0.0949367088607595,0.029063291139240513
4,473,0.09894714587737843,0.09302325581395349,-0.005923890063424947
5,473,0.13887103594080338,0.09725158562367865,-0.04161945031712473
6,473,0.19172515856236785,0.15644820295983086,-0.03527695560253699
7,473,0.2659154334038055,0.2727272727272727,0.006811839323467184
8,473,0.3804228329809725,0.386892177589852,0.00646934460887949
9,473,0.5778816067653277,0.6173361522198731,0.03945454545454541
10,473,0.8726131078224102,0.8985200845665962,0.02590697674418596
